1,1,2000,1,1,1254,2000
1,1,2000,1,2,2,1
1,1,2000,1,3,102,321
1,1,2000,2,4,176,641
1,1,2000,2,5,720,165
1,1,2000,2,6,18168,65100000
1,1,2000,2,7,36,100
1,1,2000,2,8,1,2
1,1,2000,2,9,5,15
1,1,2000,2,10,40,169
1,1,2001,1,1,1254,2061
1,1,2001,1,2,2,1
1,1,2001,1,3,83,300
1,1,2001,2,5,719,192
1,1,2001,2,6,18190,64430000
1,1,2001,2,7,46,100
1,1,2001,2,8,1,1
1,1,2001,2,9,11,33
1,1,2002,1,3,189.2,510.84
1,1,2002,2,1,1258,2083
1,1,2002,2,4,213,1278
1,1,2002,2,11,63,13.5
1,1,2002,2,5,719,208
1,1,2002,2,6,18240,67490000
1,1,2002,2,12,413,28.8
1,1,2002,2,7,47.3,133
1,1,2002,2,8,5,40
1,1,2003,1,3,52,90.17
1,1,2003,2,1,1261,1525
